Feature1,Feature2,Feature3,Feature4,Feature5,Target1,Target2,Target3
2.702875288940687,-3.0772731490195957,-1.5388415154964399,0.07618916849248425,-0.6489346804227054,145.77794045996228,184.52022316768276,383.9216972305749
-1.3732030594047204,-1.253835825290471,-0.8211775345889363,1.2125229795916281,0.1980505050703183,221.05487703646685,488.28654526223215,273.2481897021157
4.358470015503128,-4.856690510372818,0.8770587636249765,2.7702870471173515,0.7770292249828117,464.45092086764134,187.0049560124176,316.2542455999604
0.44601305450145734,2.5110043441446432,-0.6572222461698338,0.7897316370800116,3.696542389515912,467.0278441701284,354.43578645238017,256.17088646906814
4.193291634273544,-1.2066174929257079,3.0500110252182058,-0.0372631674889341,4.9164968919167436,182.2130449749294,383.61347726625013,217.9442290987975
0.5939195845191385,-1.3696572380608663,-4.6469337087322575,0.825755881209167,-1.6811093908801489,386.3456462198776,298.6706310705654,276.9731349239561
4.565747415478352,3.707372847550248,3.7357217400952845,4.837446299953154,0.1753037234283914,193.4415503157198,467.52161800867634,219.46671631941257
1.2879063498399912,4.629616652788005,-1.3064513632128714,4.754927529441691,1.5786145164250467,465.8238696151302,222.59322880326215,280.0122038316262
0.36417398108423615,0.17099460377753495,0.38256606533225934,-4.985083267297993,0.1701579451618107,131.29877991041923,207.2405868948182,331.7087479028478
3.5515171512354957,-2.4901503194138916,-1.377303530554046,-3.0819123532426507,-3.9628313792576844,215.08769393451735,455.8077146780464,355.5180967692305
-3.3184625689674707,4.428943338593941,-2.8624917757410118,-4.371622428529735,4.221263932467339,146.8526430834802,476.4978263843048,296.7419224476199
-1.6286866850718953,-1.3880097945980365,-3.099065896215547,3.6900484623284733,-1.219044844690952,326.670422165874,244.04447485118382,103.3734768970191
-3.2803390207593965,2.412823577988452,-3.438282172634194,-3.0774480960882955,3.4221667808516276,226.63090605426146,154.4168414261594,348.59183737278545
-2.8333668289671907,2.7809557179811453,-2.115172942987641,0.07630559314170604,4.412330407160846,397.69822212655157,105.43057331242163,464.520931320143
0.10505148050970448,0.6128041458940938,3.7873525970161683,3.062289465398816,1.317722702759692,283.3212448164668,326.9010866224623,196.35448561372644
4.104177404268722,-0.8172339942329723,3.8544673295438105,2.248120959769074,-1.8505506801992402,271.4494696305842,450.50022608752147,453.7638925316242
-3.226930853858235,-2.511405896510687,4.123027774961811,3.0253426342856358,-0.6921119372371507,184.0094890562193,409.83081235341535,105.6774999473022
